feature,segment,kind,labeled_n,active_approved_n,active_approved_realized_npv,reject_segment_validation_delta,active_declined_prior_approved_n,active_declined_prior_approved_realized_npv,approve_segment_validation_delta,actual_default_rate,approved_default_rate,mean_predicted_pd,calibration_error_actual_minus_pred,mean_margin_all_validation,prior_declined_share_all,all_validation_n,test_n,test_active_approved_n,auc_in_segment
days_since_last_external_decline,"days_since_last_external_decline_q3[35.87,65.54]",num,248,179,204149.09892563452,-204149.09892563452,69,-241575.20757870932,-241575.20757870932,0.23387096774193547,0.1452513966480447,0.2380739992777562,-0.004203031535820717,-0.020893317680896004,0.4501108647450111,451,851,402,0.7503629764065336
days_since_last_external_decline,"days_since_last_external_decline_q4[65.54,123.1]",num,240,171,283164.5399330702,-283164.5399330702,69,-200044.6686451167,-200044.6686451167,0.2125,0.14035087719298245,0.246749655193013,-0.03424965519301301,-0.011114729098692164,0.4690265486725664,452,919,501,0.6975827367984231
days_since_last_external_decline,"days_since_last_external_decline_q5[123.1,975.8]",num,260,212,269536.3232126712,-269536.3232126712,48,-182929.27767712538,-182929.27767712538,0.18461538461538463,0.12264150943396226,0.18602083274729603,-0.001405448131911402,0.02170612239459625,0.4247787610619469,452,891,591,0.7716686320754716
days_since_last_external_decline,days_since_last_external_decline_MISSING,num,1391,1164,1470548.147311164,-1470548.147311164,227,-875120.2509833532,-875120.2509833532,0.18835370237239396,0.1331615120274914,0.17902985250726908,0.009323849865124884,0.029473192243116002,0.37623318385650223,2230,4324,3052,0.7180271671884191
account_age_days,"account_age_days_q1[200,355]",num,436,316,397683.2418561758,-397683.2418561758,120,-575093.0679988391,-575093.0679988391,0.24311926605504589,0.1550632911392405,0.22444481191962742,0.01867445413541846,-0.015065290811089215,0.5155555555555555,900,1708,864,0.7437821612349914
account_age_days,"account_age_days_q2[355,782.2]",num,469,340,451771.313596127,-451771.313596127,129,-477057.9339881269,-477057.9339881269,0.22388059701492538,0.1264705882352941,0.238944551390738,-0.015063954375812622,-0.010740451902064413,0.4765625,896,1804,943,0.7628466771323914
account_age_days,"account_age_days_q3[782.2,1188]",num,490,359,558068.444567493,-558068.444567493,131,-494850.35361205024,-494850.35361205024,0.2,0.10027855153203342,0.2292093665608022,-0.029209366560802197,-0.005557634197409957,0.45434298440979953,898,1683,953,0.7681955435235319
account_age_days,"account_age_days_q4[1188,1749]",num,536,420,536794.1390274215,-536794.1390274215,116,-321125.47262683185,-321125.47262683185,0.19962686567164178,0.1261904761904762,0.21049224608199435,-0.010865380410352565,0.017802100942508257,0.40311804008908686,898,1814,1140,0.7487963749645993
account_age_days,"account_age_days_q5[1749,6542]",num,620,540,707897.9740995641,-707897.9740995641,80,-228469.44139579413,-228469.44139579413,0.1774193548387097,0.14074074074074075,0.16343926158083188,0.013980093257877801,0.03924546973811598,0.3088071348940914,897,1808,1385,0.6781016042780749
platform_active_months,"platform_active_months_q1[0,1.6]",num,448,289,311784.37978264317,-311784.37978264317,159,-683075.5827378555,-683075.5827378555,0.27901785714285715,0.1522491349480969,0.28197035242411567,-0.002952495281258516,-0.04188027576168798,0.5011135857461024,898,1807,766,0.7577832817337462
platform_active_months,"platform_active_months_q2[1.6,4]",num,530,386,428373.65999701456,-428373.65999701456,144,-591008.0061732185,-591008.0061732185,0.25471698113207547,0.16062176165803108,0.23653163002084282,0.01818535111123265,-0.009528237566958853,0.45918367346938777,980,1888,1025,0.7393061415846226
platform_active_months,"platform_active_months_q3[4,7]",num,597,463,609491.0898108742,-609491.0898108742,134,-305446.47543319,-305446.47543319,0.18592964824120603,0.11879049676025918,0.20399052797676945,-0.018060879735563418,0.01306694606229963,0.40773809523809523,1008,2123,1315,0.745792088384681
platform_active_months,"platform_active_months_q4[7,10]",num,499,403,543331.4360350794,-543331.4360350794,96,-370211.85550228134,-370211.85550228134,0.1903807615230461,0.1315136476426799,0.1900585836955485,0.0003221778274975773,0.025478295905135985,0.4045346062052506,838,1569,1077,0.6916623241271496
platform_active_months,"platform_active_months_q5[10,23]",num,477,434,759234.54752117,-759234.54752117,43,-146854.34977509666,-146854.34977509666,0.12578616352201258,0.09907834101382489,0.14273720761176298,-0.0169510440897504,0.046327291121923915,0.3764705882352941,765,1430,1102,0.6949640287769784
bookkeeping_recency_days,"bookkeeping_recency_days_q1[3.424,13.74]",num,638,572,789230.5395864248,-789230.5395864248,66,-99658.40668251034,-99658.40668251034,0.14106583072100312,0.11713286713286714,0.14810242960696762,-0.007036598885964501,0.053869103915477765,0.289532293986637,898,1655,1370,0.6442619626926196
bookkeeping_recency_days,"bookkeeping_recency_days_q2[13.74,18.49]",num,555,439,597104.928278256,-597104.928278256,116,-348237.8081100167,-348237.8081100167,0.17117117117117117,0.10933940774487472,0.20249398332188642,-0.03132281215071525,0.024874896977412117,0.3819599109131403,898,1824,1247,0.7481578947368421
bookkeeping_recency_days,"bookkeeping_recency_days_q3[18.49,23.36]",num,514,405,533226.8047720395,-533226.8047720395,109,-390097.7697221098,-390097.7697221098,0.20428015564202334,0.1308641975308642,0.21134467717363878,-0.007064521531615436,0.007373686278950345,0.4269788182831661,897,1755,1036,0.7145534986610781
bookkeeping_recency_days,"bookkeeping_recency_days_q4[23.36,30.32]",num,463,330,394891.18005944963,-394891.18005944963,133,-493245.7968280214,-493245.7968280214,0.24838012958963282,0.16363636363636364,0.2355883739731303,0.012791755616502531,-0.011250665562372456,0.4844097995545657,898,1823,937,0.7364692653673164
bookkeeping_recency_days,"bookkeeping_recency_days_q5[30.32,96.8]",num,381,229,337761.66045061144,-337761.66045061144,152,-765356.4882789841,-765356.4882789841,0.31758530183727035,0.15283842794759825,0.29346355969650806,0.024121742140762292,-0.04922795196109667,0.5757238307349666,898,1755,691,0.7859980928162746
invoice_payment_delinquency_rate,"invoice_payment_delinquency_rate_q1[0.005388,0.1002]",num,715,715,1262471.9083021046,-1262471.9083021046,0,0.0,0.0,0.06853146853146853,0.06853146853146853,0.09316060018800586,-0.024629131656537323,0.08561201141139775,0.20378619153674832,898,1771,1759,0.5434822577679721
invoice_payment_delinquency_rate,"invoice_payment_delinquency_rate_q2[0.1002,0.1645]",num,598,581,795559.5984784767,-795559.5984784767,17,-16293.260990590843,-16293.260990590843,0.13210702341137123,0.12736660929432014,0.11952538356213072,0.012581639849240517,0.06755110270369594,0.33407572383073497,898,1770,1621,0.5658154679154166
invoice_payment_delinquency_rate,"invoice_payment_delinquency_rate_q3[0.1645,0.2412]",num,514,439,444263.27299985546,-444263.27299985546,75,-31272.95960164961,-31272.95960164961,0.20428015564202334,0.1867881548974943,0.18609150058850554,0.0181886550535178,0.04157696022670239,0.4269788182831661,897,1753,1243,0.6173710560018629
invoice_payment_delinquency_rate,"invoice_payment_delinquency_rate_q4[0.2412,0.3518]",num,433,214,87186.98904925316,-87186.98904925316,219,-551946.0762007503,-551946.0762007503,0.3348729792147806,0.2336448598130841,0.3204117204387494,0.014461258776031216,-0.008685418877826905,0.5178173719376392,898,1688,580,0.6202945402298852
invoice_payment_delinquency_rate,"invoice_payment_delinquency_rate_q5[0.3518,0.8892]",num,291,26,62733.34431709159,-62733.34431709159,265,-1497083.9728286513,-1497083.9728286513,0.5085910652920962,0.07692307692307693,0.5632865757286007,-0.05469551043650456,-0.16037749753725983,0.6759465478841871,898,1834,81,0.7482517482517483
prior_loans_count,prior_loans_count==0,cat,1611,1230,1561761.836989066,-1561761.836989066,381,-1478562.618668479,-1478562.618668479,0.21787709497206703,0.13414634146341464,0.21856295845698873,-0.0006858634849216949,-0.0006493587112181699,0.45684423465947405,2966,6006,3493,0.7485099262877039
prior_loans_count,prior_loans_count==1,cat,766,611,879754.1283268426,-879754.1283268426,155,-539619.8915263624,-539619.8915263624,0.18929503916449086,0.1260229132569558,0.19430722082898494,-0.005012181664494075,0.018063544765040948,0.37925445705024313,1234,2239,1404,0.7144594369481925
prior_loans_count,prior_loans_count==2,cat,138,105,182173.43363931976,-182173.43363931976,33,-44756.944178046826,-44756.944178046826,0.17391304347826086,0.11428571428571428,0.20423123594981213,-0.030318192471551264,0.004799674613530104,0.425,240,495,335,0.7538377192982456
prior_loans_default_count,prior_loans_default_count==0,cat,2428,1886,2502536.7087329435,-2502536.7087329435,542,-2069365.8869034853,-2069365.8869034853,0.20799011532125206,0.13149522799575822,0.20914838710912562,-0.0011582717878735604,0.005392637995365267,0.43164794007490637,4272,8444,5096,0.741705153354649
prior_loans_default_count,prior_loans_default_count==1,cat,121,88,147793.54025331527,-147793.54025331527,33,-23671.68433453607,-23671.68433453607,0.1652892561983471,0.10227272727272728,0.2309473548329799,-0.06565809863463279,0.00019749149823404758,0.4372093023255814,215,368,187,0.7099009900990099
prior_loans_amount_total,"prior_loans_amount_total_q1[0,8679]",num,1925,1446,1840000.6355450246,-1840000.6355450246,479,-1879220.983204188,-1879220.983204188,0.2212987012987013,0.13416320885200553,0.22339800813481242,-0.00209930683611112,-0.003168494318915979,0.46393762183235865,3591,7143,4035,0.7526527857382229
prior_loans_amount_total,"prior_loans_amount_total_q2[8679,6.131e+04]",num,626,529,812214.4776017568,-812214.4776017568,97,-217375.28641745416,-217375.28641745416,0.1597444089456869,0.11909262759924386,0.1698890457421047,-0.010144636796417805,0.0383013073019884,0.3028953229398664,898,1673,1249,0.6769011406844108
application_channel,application_channel==0,cat,1280,990,1275256.2719316527,-1275256.2719316527,290,-1082723.5364615181,-1082723.5364615181,0.21171875,0.13232323232323231,0.20898101331860586,0.002737736681394154,0.007992883140109855,0.4306049822064057,2248,4398,2680,0.7415694176763373
application_channel,application_channel==1,cat,914,710,966770.1446212312,-966770.1446212312,204,-622135.5597087479,-622135.5597087479,0.19912472647702406,0.13661971830985917,0.20941432103893096,-0.010289594561906895,0.005887832430661467,0.4283927454659162,1599,3039,1851,0.7253385275926258
application_channel,application_channel==2,cat,357,275,410188.69659389765,-410188.69659389765,82,-391737.17345137603,-391737.17345137603,0.20448179271708683,0.10545454545454545,0.21706252609712343,-0.012580733380036596,-0.006800832550835415,0.4439252336448598,642,1380,754,0.7778313717923983
multi_lender_inquiry_count_30d,multi_lender_inquiry_count_30d==0,cat,1712,1368,1790067.631327619,-1790067.631327619,344,-1071642.9857821858,-1071642.9857821858,0.18516355140186916,0.12134502923976608,0.19819497177235368,-0.01303142037048452,0.012780493318623774,0.411481608800275,2909,5668,3619,0.7255124769625634
multi_lender_inquiry_count_30d,multi_lender_inquiry_count_30d==1,cat,669,494,645434.1877399097,-645434.1877399097,175,-790106.7627504095,-790106.7627504095,0.24813153961136025,0.15991902834008098,0.2282960716214376,0.01983546798992264,-0.0059659914996895705,0.46265060240963857,1245,2441,1351,0.7523593379482143
multi_lender_inquiry_count_30d,multi_lender_inquiry_count_30d==2,cat,149,102,191169.80722307254,-191169.80722307254,47,-177543.79110708783,-177543.79110708783,0.2550335570469799,0.11764705882352941,0.2508566441903887,0.004176912856591164,-0.01627562309351369,0.4753521126760563,284,588,277,0.777619724988146
days_since_last_inquiry_elsewhere,"days_since_last_inquiry_elsewhere_q1[0.01637,7.056]",num,208,125,38204.04718134941,-38204.04718134941,83,-335257.4979134797,-335257.4979134797,0.3125,0.192,0.30059210876316206,0.011907891236837942,-0.05331964684022533,0.5468409586056645,459,890,344,0.7474986551909628
days_since_last_inquiry_elsewhere,"days_since_last_inquiry_elsewhere_q2[7.056,17.49]",num,218,139,179229.7176887269,-179229.7176887269,79,-294121.9026940636,-294121.9026940636,0.2798165137614679,0.12949640287769784,0.29037363055957777,-0.010557116798109889,-0.04319419661013439,0.5250544662309368,459,892,382,0.7850057429257598
days_since_last_inquiry_elsewhere,"days_since_last_inquiry_elsewhere_q3[17.49,33.66]",num,246,159,268708.8992105217,-268708.8992105217,87,-426457.9090733136,-426457.9090733136,0.2601626016260163,0.1069182389937107,0.27132184265018816,-0.011159241024171873,-0.020673483333763683,0.46405228758169936,459,914,464,0.8021548763736264
days_since_last_inquiry_elsewhere,"days_since_last_inquiry_elsewhere_q4[33.66,61.11]",num,243,194,250299.52375322813,-250299.52375322813,49,-125342.38935347645,-125342.38935347645,0.20164609053497942,0.15979381443298968,0.20414124400461245,-0.002495153469633027,-0.0026233569019698698,0.47058823529411764,459,890,460,0.6652640437618347
days_since_last_inquiry_elsewhere,"days_since_last_inquiry_elsewhere_q5[61.11,761]",num,273,222,245897.19656935072,-245897.19656935072,51,-138524.2378668464,-138524.2378668464,0.17216117216117216,0.12612612612612611,0.1881649854504111,-0.016003813289238944,0.022425773377233435,0.40522875816993464,459,909,574,0.7178497458105818
days_since_last_inquiry_elsewhere,days_since_last_inquiry_elsewhere_MISSING,num,1363,1136,1669875.7287436044,-1669875.7287436044,227,-776892.3327204625,-776892.3327204625,0.1760821716801174,0.12235915492957747,0.17817062479553666,-0.0020884531154192754,0.030864259202244743,0.3787602552415679,2194,4318,3060,0.7170729444939151
repeat_application_count,repeat_application_count==0,cat,1974,1529,2028955.402267835,-2028955.402267835,445,-1782507.5496537632,-1782507.5496537632,0.20820668693009117,0.12884238064094178,0.21085406053612507,-0.002647373606033898,0.004104719536419062,0.4379271070615034,3512,6985,4210,0.7407428163133782
repeat_application_count,repeat_application_count==1,cat,488,374,507003.2610031343,-507003.2610031343,114,-244437.62747792885,-244437.62747792885,0.19672131147540983,0.13903743315508021,0.20910398593335916,-0.012382674457949328,0.007290058440361703,0.40704738760631837,823,1509,886,0.7300170068027211
repeat_application_count,repeat_application_count==2,cat,83,67,105843.8643047817,-105843.8643047817,16,-72777.70104092936,-72777.70104092936,0.2289156626506024,0.11940298507462686,0.204381665675559,0.02453399697504341,0.015313567211621417,0.4315068493150685,146,302,177,0.7935855263157894
requested_amount_to_observed_revenue,"requested_amount_to_observed_revenue_q1[0.001468,0.007103]",num,622,607,965509.5228047122,-965509.5228047122,15,-42554.88863240313,-42554.88863240313,0.10932475884244373,0.10543657331136738,0.0919371580217499,0.017387600820693835,0.07219966892631315,0.30734966592427615,898,1786,1658,0.6712412401783818
requested_amount_to_observed_revenue,"requested_amount_to_observed_revenue_q2[0.007103,0.009395]",num,535,477,703065.5125154965,-703065.5125154965,58,-67303.44344487571,-67303.44344487571,0.16635514018691588,0.13836477987421383,0.15434381941463274,0.012011320772283146,0.04793151917316782,0.4042316258351893,898,1718,1350,0.664924169899733
requested_amount_to_observed_revenue,"requested_amount_to_observed_revenue_q3[0.009395,0.01181]",num,511,413,517911.39289728086,-517911.39289728086,98,-346866.82836673444,-346866.82836673444,0.20939334637964774,0.14527845036319612,0.19799462936537582,0.01139871701427192,0.02666414521665049,0.43032329988851725,897,1642,1035,0.7270634773757748
requested_amount_to_observed_revenue,"requested_amount_to_observed_revenue_q4[0.01181,0.0154]",num,496,332,364930.643272414,-364930.643272414,164,-530577.8359588485,-530577.8359588485,0.2217741935483871,0.12048192771084337,0.2714712412050953,-0.04969704765670821,-0.011710610022211833,0.44766146993318484,898,1856,891,0.7145666509656148
requested_amount_to_observed_revenue,"requested_amount_to_observed_revenue_q5[0.0154,0.06175]",num,387,146,100798.04165687789,-100798.04165687789,241,-1109293.2732187803,-1109293.2732187803,0.39276485788113696,0.18493150684931506,0.41552418959762344,-0.022759331716486475,-0.10942417206543974,0.5690423162583519,898,1815,351,0.7509658454647257
prior_underwriter_score,"prior_underwriter_score_q3[0.2111,0.6466]",num,755,530,674037.8005006018,-674037.8005006018,225,-983612.3042830117,-983612.3042830117,0.23576158940397351,0.13962264150943396,0.25215458800738766,-0.016392998603414144,0.01598052961604776,0.15830546265328874,897,1838,1217,0.7458425018986232
prior_underwriter_score,"prior_underwriter_score_q4[0.6466,0.9367]",num,898,676,901195.2197919425,-901195.2197919425,222,-698785.5740985818,-698785.5740985818,0.21937639198218262,0.14201183431952663,0.2207873337090281,-0.0014109417268454716,0.03213197616079382,0.0,898,1671,1277,0.7207687350195877
prior_underwriter_score,"prior_underwriter_score_q5[0.9367,1]",num,898,769,1076982.0928542372,-1076982.0928542372,129,-414198.3912400485,-414198.3912400485,0.16815144766146994,0.11313394018205461,0.16453003193517438,0.003621415726295568,0.055411197595565745,0.0,898,1770,1531,0.7434860856228447
prior_decision,prior_decision==1,cat,2551,1975,2652215.1131467815,-2652215.1131467815,576,-2096596.2696216418,-2096596.2696216418,0.2061936495491964,0.130126582278481,0.21026723178913037,-0.004073582239933982,0.03534944010866676,0.0,2551,4964,3853,0.7404036990095291
prior_approved_amount,"prior_approved_amount_q1[1.102e+04,2.179e+04]",num,511,478,660983.1007804127,-660983.1007804127,33,-21786.66233891492,-21786.66233891492,0.10176125244618395,0.08577405857740586,0.13415389359453425,-0.032392641148350304,0.06983826955383367,0.0,511,985,936,0.6931456343221049
prior_approved_amount,"prior_approved_amount_q2[2.179e+04,2.519e+04]",num,510,446,640313.4062580238,-640313.4062580238,64,-153401.57096157578,-153401.57096157578,0.15294117647058825,0.10986547085201794,0.16550143061151676,-0.012560254140928512,0.054366057703674656,0.0,510,1004,861,0.7067307692307693
prior_approved_amount,"prior_approved_amount_q3[2.519e+04,2.822e+04]",num,510,408,703191.0337987465,-703191.0337987465,102,-317078.40391235217,-317078.40391235217,0.2,0.12990196078431374,0.19443170911279217,0.0055682908872078385,0.04185408725286453,0.0,510,998,800,0.7212129950019224
prior_approved_amount,"prior_approved_amount_q4[2.822e+04,3.17e+04]",num,510,376,411322.07747540646,-411322.07747540646,134,-431248.7208378685,-431248.7208378685,0.24901960784313726,0.18085106382978725,0.22391427019803514,0.025105337645102116,0.030879005379052173,0.0,510,999,709,0.6824489628091528
prior_approved_amount,"prior_approved_amount_q5[3.17e+04,4.346e+04]",num,510,267,236405.49483419198,-236405.49483419198,243,-1173080.9115709306,-1173080.9115709306,0.32745098039215687,0.17228464419475656,0.33348409726837064,-0.006033116876213773,-0.02025784450186605,0.0,510,975,545,0.751994553167717
application_month,application_month==7,cat,930,717,963225.9686777028,-963225.9686777028,213,-786900.837237886,-786900.837237886,0.20967741935483872,0.13668061366806136,0.2085208628480527,0.001156556506786005,0.007272255716884661,0.43188759926695175,1637,3274,1981,0.7654142682714111
application_month,application_month==8,cat,884,683,856826.6497442977,-856826.6497442977,201,-636843.8826567454,-636843.8826567454,0.20927601809954752,0.13323572474377746,0.21061596116124692,-0.0013399430616994057,0.0014433601180083122,0.44715447154471544,1599,3068,1836,0.7172717782159842
application_month,application_month==9,cat,707,548,774498.0415345662,-774498.0415345662,159,-672501.6661206402,-672501.6661206402,0.20084865629420084,0.12043795620437957,0.2148091090540414,-0.013960452759840564,0.0057898346982900835,0.4063811922753988,1191,2380,1418,0.7360837591923222
application_day_of_week,application_day_of_week==4,cat,374,293,399111.33493719925,-399111.33493719925,81,-296557.0340035786,-296557.0340035786,0.20320855614973263,0.13310580204778158,0.2000523220958667,0.0031562340538659195,0.004507037665767356,0.4467455621301775,676,1256,738,0.6869701518897916
application_day_of_week,application_day_of_week==2,cat,367,286,396479.06758567406,-396479.06758567406,81,-259292.45330444555,-259292.45330444555,0.1989100817438692,0.1258741258741259,0.20282336893123767,-0.003913287187368469,0.003212458132397057,0.44478063540090773,661,1306,790,0.7573385518590998
application_day_of_week,application_day_of_week==5,cat,375,295,345229.85807776527,-345229.85807776527,80,-302724.4137441525,-302724.4137441525,0.20533333333333334,0.13559322033898305,0.21260137104599752,-0.007268037712664183,0.007173067654190582,0.42484662576687116,652,1263,753,0.771005839797786
application_day_of_week,application_day_of_week==1,cat,373,285,339809.46294568555,-339809.46294568555,88,-307630.6247923811,-307630.6247923811,0.21447721179624665,0.14385964912280702,0.2144965696601665,-1.935786391984995e-05,0.0028972362986800096,0.4171875,640,1233,729,0.7146331058020478
application_day_of_week,application_day_of_week==6,cat,366,290,431286.4947903204,-431286.4947903204,76,-196416.69099239272,-196416.69099239272,0.1994535519125683,0.14482758620689656,0.20204764732767821,-0.0025940954151099094,0.012770894173172098,0.42362204724409447,635,1222,708,0.6738744214315769
application_day_of_week,application_day_of_week==0,cat,363,285,388227.8560675353,-388227.8560675353,78,-351514.32273918524,-351514.32273918524,0.2066115702479339,0.12982456140350876,0.21215532633804893,-0.005543756090115037,0.0038089494645956977,0.42289348171701113,629,1285,804,0.7610648148148148
application_day_of_week,application_day_of_week==3,cat,333,241,352071.0387426014,-352071.0387426014,92,-382460.7300455066,-382460.7300455066,0.21621621621621623,0.0912863070539419,0.22955377304600594,-0.01333755682978971,0.0013588929790313304,0.4412751677852349,596,1252,763,0.8170764154959558
application_weekofyear,"application_weekofyear_q1[27,29]",num,616,477,626282.4631049957,-626282.4631049957,139,-511591.5869016575,-511591.5869016575,0.21266233766233766,0.14675052410901468,0.2096353839684937,0.0030269536938439534,0.008169692514131428,0.44404332129963897,1108,2196,1308,0.7514440859368852
application_weekofyear,"application_weekofyear_q2[29,31]",num,428,331,472728.4237899581,-472728.4237899581,97,-339065.3269493706,-339065.3269493706,0.21261682242990654,0.13293051359516617,0.2057629176272606,0.006853904802645944,0.006826474125172511,0.433112582781457,755,1492,902,0.7539374572015521
application_weekofyear,"application_weekofyear_q3[31,34]",num,626,487,555903.2922562675,-555903.2922562675,139,-487008.718688367,-487008.718688367,0.20607028753993611,0.1293634496919918,0.20893819177884912,-0.002867904238913005,0.003924950079444255,0.43501805054151627,1108,2083,1247,0.7274265749535974
application_weekofyear,"application_weekofyear_q4[34,36]",num,380,295,434982.01606059325,-434982.01606059325,85,-286780.14497328445,-286780.14497328445,0.2,0.12203389830508475,0.20652026388395703,-0.006520263883957017,0.0010166808020602152,0.44281524926686217,682,1276,784,0.720373095567867
application_weekofyear,"application_weekofyear_q5[36,39]",num,501,385,562318.917934967,-562318.917934967,116,-472150.49210896256,-472150.49210896256,0.19760479041916168,0.11428571428571428,0.21939475987135454,-0.02178996945219286,0.00450751506311738,0.4007177033492823,836,1770,1044,0.7455902306648574
application_days_since_2024_01_01,"application_days_since_2024_01_01_q1[546,563]",num,524,404,513632.54747564206,-513632.54747564206,120,-487947.09765009745,-487947.09765009745,0.21755725190839695,0.14356435643564355,0.21031831731554376,0.007238934592853186,0.008133983168684966,0.4425531914893617,940,1888,1118,0.7705070603337612
application_days_since_2024_01_01,"application_days_since_2024_01_01_q2[563,579]",num,495,386,552648.885772713,-552648.885772713,109,-341336.5506406785,-341336.5506406785,0.20606060606060606,0.13730569948186527,0.20398000854374507,0.002080597516860988,0.007204378490526269,0.43621867881548976,878,1685,1027,0.7423788853963975
application_days_since_2024_01_01,"application_days_since_2024_01_01_q3[579,596]",num,501,392,439643.9815538553,-439643.9815538553,109,-352127.073729254,-352127.073729254,0.1996007984031936,0.125,0.21023551440666888,-0.010634716003475264,0.0020441206802203626,0.4402234636871508,895,1702,1016,0.7243266832917705
application_days_since_2024_01_01,"application_days_since_2024_01_01_q4[596,614]",num,502,383,534402.1360828757,-534402.1360828757,119,-426498.3311690405,-426498.3311690405,0.2151394422310757,0.13315926892950392,0.2094376874342575,0.005701754796818198,0.0018871493219730514,0.43595505617977526,890,1673,1023,0.7211411919533747
application_days_since_2024_01_01,"application_days_since_2024_01_01_q5[614,636]",num,529,410,611887.5622616955,-611887.5622616955,119,-488687.2164325717,-488687.2164325717,0.19281663516068054,0.11219512195121951,0.21691700185601961,-0.024100366695339076,0.006248387651646874,0.40293453724604966,886,1869,1101,0.7432382789181247
application_is_weekend,application_is_weekend==0,cat,1810,1390,1875698.7602786957,-1875698.7602786957,420,-1597455.164885097,-1597455.164885097,0.20773480662983426,0.12589928057553956,0.2114457211214874,-0.0037109144916531445,0.003194925967352205,0.43472829481574016,3202,6332,3824,0.7467840291996795
application_is_weekend,application_is_weekend==1,cat,741,585,776516.3528680857,-776516.3528680857,156,-499141.10473654524,-499141.10473654524,0.20242914979757085,0.14017094017094017,0.20738860062642278,-0.004959450828851936,0.009935010031465843,0.42424242424242425,1287,2485,1461,0.7237112239142698
requested_to_stated_annual_revenue,"requested_to_stated_annual_revenue_q1[0.001837,0.007253]",num,585,553,902013.958467234,-902013.958467234,32,-42279.19628765504,-42279.19628765504,0.11623931623931624,0.10669077757685352,0.11096883658642356,0.005270479652892679,0.05973509536378357,0.34855233853006684,898,1792,1549,0.6824012970758903
requested_to_stated_annual_revenue,"requested_to_stated_annual_revenue_q2[0.007253,0.009383]",num,548,480,638060.249178104,-638060.249178104,68,-230646.6883992324,-230646.6883992324,0.18795620437956204,0.14375,0.1618185577600138,0.026137646619548233,0.03920240032927048,0.3897550111358575,898,1674,1233,0.6972728264426747
requested_to_stated_annual_revenue,"requested_to_stated_annual_revenue_q3[0.009383,0.01161]",num,493,382,512493.0153101786,-512493.0153101786,111,-493828.16959633725,-493828.16959633725,0.20689655172413793,0.12827225130890052,0.20812161202040969,-0.0012250602962717572,0.018985313719473665,0.4503901895206243,897,1639,1056,0.7501379068251343
requested_to_stated_annual_revenue,"requested_to_stated_annual_revenue_q4[0.01161,0.01513]",num,494,343,434403.7068141357,-434403.7068141357,151,-351767.14455458825,-351767.14455458825,0.2165991902834008,0.13119533527696792,0.2511001691015287,-0.034500978818127914,-0.009652151905448454,0.44988864142538976,898,1919,985,0.6933999855103963
requested_to_stated_annual_revenue,"requested_to_stated_annual_revenue_q5[0.01513,0.04375]",num,431,217,165244.1833771291,-165244.1833771291,214,-978075.0707838291,-978075.0707838291,0.33874709976798145,0.16129032258064516,0.36229914379654055,-0.023552044028559094,-0.08261865731590132,0.5200445434298441,898,1790,462,0.7678562845469838
debt_to_stated_annual_revenue,"debt_to_stated_annual_revenue_q1[0.000151,0.001305]",num,565,526,740206.1418836543,-740206.1418836543,39,-151714.63552997058,-151714.63552997058,0.14513274336283186,0.11977186311787072,0.11773283093547152,0.02739991242736034,0.05691586069978671,0.37082405345211583,898,1659,1391,0.6977225672877847
debt_to_stated_annual_revenue,"debt_to_stated_annual_revenue_q2[0.001305,0.002188]",num,535,434,595362.4725062633,-595362.4725062633,101,-296498.3057770768,-296498.3057770768,0.18691588785046728,0.1336405529953917,0.18654642758063528,0.00036946026983200597,0.02592146853836691,0.4042316258351893,898,1760,1191,0.7022068965517241
debt_to_stated_annual_revenue,"debt_to_stated_annual_revenue_q3[0.002188,0.003299]",num,488,379,562955.0635015842,-562955.0635015842,109,-308260.0945871092,-308260.0945871092,0.1885245901639344,0.1266490765171504,0.21203624318991046,-0.023511653025976048,0.009561348219988549,0.4559643255295429,897,1696,1076,0.7515233860342556
debt_to_stated_annual_revenue,"debt_to_stated_annual_revenue_q4[0.003299,0.005503]",num,500,361,480337.48938806297,-480337.48938806297,139,-485667.35429659736,-485667.35429659736,0.226,0.12742382271468145,0.24214108918467328,-0.016141089184673274,-0.009103007920090125,0.44320712694877507,898,1915,993,0.7530813381811529
debt_to_stated_annual_revenue,"debt_to_stated_annual_revenue_q5[0.005503,0.05888]",num,463,275,273353.94586721645,-273353.94586721645,188,-854455.879430888,-854455.879430888,0.3002159827213823,0.15272727272727274,0.3143112068917436,-0.014095224170361298,-0.057654163740526114,0.4844097995545657,898,1783,631,0.7458588684607869
debt_to_observed_monthly_revenue,"debt_to_observed_monthly_revenue_q1[0.001408,0.01507]",num,392,381,478554.3872092104,-478554.3872092104,11,-53657.37247890688,-53657.37247890688,0.12755102040816327,0.11548556430446194,0.09737029944589178,0.030180720962271493,0.0682938703636514,0.312280701754386,570,1056,940,0.7033333333333334
debt_to_observed_monthly_revenue,"debt_to_observed_monthly_revenue_q2[0.01507,0.02567]",num,358,305,354305.14992396475,-354305.14992396475,53,-134537.25723409836,-134537.25723409836,0.16759776536312848,0.12459016393442623,0.1712342762942875,-0.0036365109311590205,0.039971216551824076,0.37082601054481545,569,1127,854,0.7242449664429531
